event_id,user_id,known_device,location_deviation,failed_login_count,recent_password_reset,mfa_verified,phone_change_frequency,login_time_deviation,trust_score,label
E000001,S0441,1,0.0775,0,0,1,1,0.0488,82,0
E000002,S1561,0,0.1824,0,0,1,0,0.1371,64,0
E000003,S4051,1,0.101,0,0,1,0,0.1951,87,0
E000004,S2553,1,0.0894,0,0,1,0,0.1736,69,0
E000005,S3835,1,0.0217,0,0,0,0,0.0465,64,0
E000006,S3777,1,0.0625,0,0,1,0,0.0152,100,0
E000007,S2708,1,0.0472,0,0,1,0,0.0589,73,0
E000008,S2412,1,0.0622,0,0,1,0,0.0193,80,1
E000009,S0501,1,0.077,0,0,1,0,0.0129,78,0
E000010,S2216,1,0.1237,0,0,1,0,0.0989,82,0
E000011,S0153,0,0.2157,0,0,1,0,0.2039,43,0
E000012,S0943,0,0.2692,1,0,1,2,0.4454,41,1
E000013,S2563,1,0.0963,2,0,1,0,0.043,100,0
E000014,S0367,0,0.0459,0,0,1,0,0.0774,76,0
E000015,S4037,1,0.0499,0,0,1,0,0.0793,92,0
E000016,S2017,1,0.1088,0,0,1,0,0.0535,80,0
E000017,S2854,1,0.1753,0,0,1,0,0.0155,84,0
E000018,S2004,1,0.0765,1,1,1,0,0.0985,72,0
E000019,S0634,1,0.0333,0,0,1,0,0.1187,87,0
E000020,S3317,0,0.4856,0,0,1,0,0.4199,36,0
E000021,S1718,0,0.6255,0,0,1,1,0.7307,47,1
E000022,S0226,1,0.0114,0,0,1,0,0.0776,52,0
E000023,S0958,0,0.0838,0,0,1,0,0.0208,46,0
E000024,S4051,1,0.0385,0,0,1,0,0.0566,84,0
E000025,S3132,1,0.0151,0,0,1,0,0.0325,72,0
E000026,S0797,1,0.0428,0,1,1,0,0.0288,69,0
E000027,S2354,1,0.0221,0,0,1,0,0.0478,77,0
E000028,S3531,1,0.1091,0,0,1,0,0.0603,100,0
E000029,S0193,0,0.4615,1,1,1,5,0.0946,56,0
E000030,S1759,0,0.0572,0,0,1,0,0.0788,100,0
